Epoch: 142/20000, Action: (8, 2), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1892.50048828125
Epoch: 143/20000, Action: (0, 2), Score: -1882, Tetrominoes 23, Cleared lines: 0, Loss: 1889.227783203125
Epoch: 144/20000, Action: (8, 0), Score: -1702, Tetrominoes 26, Cleared lines: 0, Loss: 1606.7156982421875
Epoch: 145/20000, Action: (8, 0), Score: -1772, Tetrominoes 25, Cleared lines: 0, Loss: 1319.2039794921875
Epoch: 146/20000, Action: (12, 3), Score: -2192, Tetrominoes 16, Cleared lines: 0, Loss: 1729.90625
Epoch: 147/20000, Action: (6, 1), Score: -1652, Tetrominoes 27, Cleared lines: 0, Loss: 1471.68115234375
Epoch: 148/20000, Action: (7, 3), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 1442.484375
Epoch: 149/20000, Action: (0, 1), Score: -1582, Tetrominoes 29, Cleared lines: 0, Loss: 1353.1719970703125
Epoch: 150/20000, Action: (12, 1), Score: -2052, Tetrominoes 19, Cleared lines: 0, Loss: 1324.3231201171875
Epoch: 151/20000, Action: (4, 0), Score: -1682, Tetrominoes 26, Cleared lines: 0, Loss: 1345.2152099609375
Epoch: 152/20000, Action: (5, 1), Score: -2022, Tetrominoes 20, Cleared lines: 0, Loss: 1216.7982177734375
Epoch: 153/20000, Action: (3, 0), Score: -1432, Tetrominoes 32, Cleared lines: 0, Loss: 1466.050537109375
Epoch: 154/20000, Action: (3, 3), Score: -1662, Tetrominoes 27, Cleared lines: 0, Loss: 1248.400390625
Epoch: 155/20000, Action: (8, 1), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1231.72900390625
Epoch: 156/20000, Action: (6, 3), Score: -1552, Tetrominoes 29, Cleared lines: 0, Loss: 1263.886962890625
Epoch: 157/20000, Action: (5, 3), Score: -1712, Tetrominoes 26, Cleared lines: 0, Loss: 1178.3203125
Epoch: 158/20000, Action: (4, 1), Score: -1862, Tetrominoes 23, Cleared lines: 0, Loss: 1222.3050537109375
Epoch: 159/20000, Action: (6, 1), Score: -1602, Tetrominoes 28, Cleared lines: 0, Loss: 1170.7041015625
Epoch: 160/20000, Action: (13, 1), Score: -1722, Tetrominoes 26, Cleared lines: 0, Loss: 991.0331420898438
Epoch: 161/20000, Action: (8, 0), Score: -1762, Tetrominoes 25, Cleared lines: 0, Loss: 1072.9688720703125
Epoch: 162/20000, Action: (6, 0), Score: -1432, Tetrominoes 31, Cleared lines: 0, Loss: 1063.162841796875
Epoch: 163/20000, Action: (3, 0), Score: -1822, Tetrominoes 24, Cleared lines: 0, Loss: 1058.88623046875
Epoch: 164/20000, Action: (12, 1), Score: -1902, Tetrominoes 22, Cleared lines: 0, Loss: 1472.1610107421875
Epoch: 165/20000, Action: (8, 1), Score: -1802, Tetrominoes 25, Cleared lines: 0, Loss: 1193.483642578125
Epoch: 166/20000, Action: (11, 1), Score: -1882, Tetrominoes 23, Cleared lines: 0, Loss: 1297.0411376953125
Epoch: 167/20000, Action: (6, 3), Score: -1492, Tetrominoes 30, Cleared lines: 0, Loss: 1320.9482421875
Epoch: 168/20000, Action: (11, 0), Score: -1702, Tetrominoes 26, Cleared lines: 0, Loss: 1228.57080078125
Epoch: 169/20000, Action: (8, 0), Score: -1552, Tetrominoes 29, Cleared lines: 0, Loss: 1417.2476806640625
Epoch: 170/20000, Action: (3, 0), Score: -2222, Tetrominoes 16, Cleared lines: 0, Loss: 1297.94287109375
Epoch: 171/20000, Action: (4, 3), Score: -1832, Tetrominoes 24, Cleared lines: 0, Loss: 1496.8865966796875
Epoch: 172/20000, Action: (5, 1), Score: -2002, Tetrominoes 20, Cleared lines: 0, Loss: 1188.91748046875
Epoch: 173/20000, Action: (7, 3), Score: -2022, Tetrominoes 20, Cleared lines: 0, Loss: 1274.872314453125
